ground truth	prediction
0.0	36.503902
4430.285714	4746.432
0.0	44.884968
414.84375	242.31474
0.0	35.835373
0.0	50.881912
7701.142856999999	7827.5166
220.375	75.44351
5672.857143	5942.2476
2912.722222222222	3346.9084
0.0	50.04612
9888.375	10145.5205
3590.125	3765.3318
0.0	30.614763
6401.5	6812.6587
0.0	39.84326
27.916666665	35.66416
637.0	844.8834
0.0	47.087704
6551.714286	6735.027
5199.714286	5157.5264
0.0	52.07166
0.0	33.35552
9980.0	9756.305
0.0	48.14437
1447.75	1430.1201
0.0	47.779266
0.0	37.36519
12390.0	11953.19
0.0	63.032387
0.0	38.88236
2108.375	2201.3384
0.0	29.868473
0.0	54.421844
2465.75	3278.838
0.0	65.394966
289.8571428428571	95.09053
795.5714286	402.1203
4080.375	4934.6313
4148.725489411764	4886.0415
0.0	24.912226
2165.857143	2853.9136
5458.25	6060.2188
0.0	57.298847
737.2857142999999	335.85422
7363.857143	7356.4014
0.0	40.59956
9515.571429	9852.742
3285.125	3533.0183
14312.71429	12929.075
7834.000000000001	7590.251
6249.0	6661.9653
7110.285714	7292.4595
0.0	65.39293
0.0	69.97088
4048.2499999999995	4846.727
7630.571429	9305.709
0.0	39.93077
0.0	44.835606
272.57142860000005	212.12505
6892.25	7038.4917
3568.625	3698.87
0.0	29.985275
7605.0	7846.514
0.0	19.257402
5233.5	6098.6113
2228.571429	2421.4285
0.0	48.84673
0.0	45.297344
0.0	48.611065
7022.5	7061.1465
2422.625	2866.2761
7003.38235117647	7561.5024
0.0	50.579285
0.0	45.86742
0.0	67.410515
10821.5	11534.862
0.0	50.22193
0.0	59.630234
0.0	28.538517
13115.57143	12205.109
0.0	46.211567
2109.125	2294.989
3238.625	3792.2788
0.0	51.848415
0.0	52.613396
10023.25	10263.886
0.0	23.564846
3072.0	3306.5098
2688.6666666666665	2944.7454
0.0	46.965313
3332.0	3366.4414
0.0	60.266216
11214.75	10764.257
0.0	43.270824
11544.25	11497.467
9589.875	9194.879
0.0	43.278873
11515.71429	11538.8955
0.0	43.071133
3665.0	3740.122
4132.142857	4524.375
0.0	35.234394
0.0	69.03608
5636.5	5646.604
0.0	61.42557
0.0	47.568375
0.0	30.833097
7919.375000000001	8047.1055
2289.875	2843.3374
10978.25	10867.849
0.0	32.316463
10056.71429	9837.106
0.0	52.696194
0.0	49.2137
0.0	53.645176
1608.125	1926.7491
4666.25	5163.1826
4033.0	4989.826
4583.0	4755.564
0.0	59.371857
3397.714286	3635.4224
0.0	43.456547
0.0	67.30285
0.0	55.20531
1888.375	2347.3804
12764.25	12334.398
10428.970585294115	10823.436
4771.875	5017.935
7536.999999999999	7694.898
0.0	63.17457
0.0	55.9793
8604.0	7324.371
815.2857142999999	337.2278
0.0	54.68214
12378.375	12012.15
0.0	35.91742
7636.571429	8984.165
9512.714286	8968.167
8666.875	8733.418
1754.5	2192.9553
3324.285714	3399.2402
0.0	62.056538
1008.25	94.80616
11379.14286	11633.464
0.0	50.20272
13143.0	11958.098
1946.6249999999998	1752.0625
0.0	47.570545
0.0	29.933418
6384.875	6625.47
2016.5	1819.4363
937.7500000000001	748.83124
5639.0	6241.607
455.62500000000006	586.42554
0.0	49.84212
0.0	34.287735
12560.125	12045.741
0.0	44.146393
0.0	68.40136
0.0	62.92015
0.0	45.842007
0.0	59.166645
0.0	41.67032
0.0	60.28004
0.0	51.108704
1141.375	747.75464
10277.625	9733.14
3512.875	3834.8362
0.0	31.866169
0.0	60.468098
0.0	51.345623
0.0	52.112614
0.0	51.717457
13176.42857	12812.056
4104.571429	4281.374
6441.0	8053.1455
0.0	58.067253
143.5714286	80.24909
11172.125	10730.405
11324.57143	12276.95
0.0	66.994965
2447.125	3071.7915
0.0	24.437576
4417.5	4907.327
0.0	64.16416
0.0	26.779768
0.0	36.387287
4092.714286	4990.4556
0.0	47.125225
10171.125	10780.176
7008.0	6817.6875
0.0	37.606724
0.0	37.860355
0.0	29.279108
1024.142857	727.44104
7543.5714290000005	8016.3853
0.0	66.07433
12957.0	12286.724
0.0	50.65165
0.0	60.908417
8012.125	9047.226
1267.25	826.7324
1996.7500000000002	2248.999
0.0	67.20635
0.0	50.425632
0.0	45.022537
0.0	49.185707
0.0	41.064228
0.0	55.03039
7937.625	7701.897
0.0	40.537872
0.0	35.92446
0.0	56.630013
0.0	50.91023
4054.4285709999995	4179.4277
1675.142857	1686.4506
4093.7500000000005	3787.6243
0.0	44.398853
8571.142856999999	8225.448
10241.625	10012.954
7724.25	7807.911
0.0	54.05703
369.25	140.17162
2353.75	2911.256
8074.428570999999	8352.84
0.0	58.406384
0.0	55.27996
0.0	28.988419
0.0	40.69148
0.0	60.479378
9872.375	10316.666
0.0	54.204807
11980.0	11606.54
0.0	60.057873
5912.285714	6145.318
8831.875	9057.854
1610.0	1522.4607
0.0	40.264893
10017.14286	11904.437
12201.125	11948.285
0.0	44.385902
7890.571428999999	8710.536
12556.57143	11573.788
8375.375	8181.4814
653.375	732.59863
6455.285714	6883.451
296.3333333	74.603676
9171.857143	9090.461
11109.57143	11124.018
9826.857143	9770.515
0.0	55.41554
0.0	55.576466
11917.25	11438.448
6373.428571	6996.8994
0.0	49.10899
0.0	42.36379
8974.0	9902.04
4371.857143	4451.4956
3424.285714	3774.6912
0.0	34.658745
199.125	75.960205
0.0	67.430214
8583.25	10061.301
0.0	42.52332
7593.571429	8021.9263
0.0	72.340164
0.0	67.413994
0.0	30.22867
0.0	46.522057
0.0	65.953255
8998.25	8395.028
82.96875	69.75563
0.0	49.493595
0.0	56.096783
8265.5	8583.749
7125.625	7537.616
0.0	53.85148
8155.0	8362.228
163.0	91.570946
4378.571429	4645.882
4038.142857	4194.9473
5990.714286	6518.8584
9623.5	10095.135
0.0	52.904697
0.0	58.729595
0.0	41.18493
0.0	46.838253
2390.75	2614.1208
0.0	64.05947
5409.285714	5698.791
12532.14286	12104.672
9493.714286	10062.46
2016.7499999999998	2187.0378
419.5714286000001	447.68228
8916.285714	7993.981
8254.625	8455.18
7725.499999999999	7754.5776
116.15625	70.62023
8649.714286	9338.398
1456.75	1551.0131
9268.875	9050.027
10442.85714	10272.77
3273.142857	3752.724
5403.571429	5449.4985
1973.7142859999997	2273.3972
0.0	51.983536
0.0	56.087486
89.66666666666669	48.52715
2435.9313723529413	2752.4143
0.0	55.400166
0.0	35.34944
0.0	41.52997
0.0	55.712612
5084.857143	5589.998
224.05555555555557	43.626175
0.0	54.213745
4092.6250000000005	4309.177
1505.857143	1570.7754
977.0000000000001	798.11456
0.0	47.080227
7119.857143000001	7097.9
0.0	39.339096
0.0	62.763615
1828.2499999999998	2404.0098
13248.75	12415.648
154.28571428571428	55.306255
9545.142857	9091.468
0.0	48.86716
0.0	30.94886
0.0	60.523853
0.0	59.49727
3057.75	3769.069
8145.245095882352	8591.412
0.0	49.328396
1125.5	767.3645
9124.875	9412.391
11127.42857	11351.198
0.0	63.41817
7153.5714290000005	7450.9307
3341.857143	3652.954
11873.71429	11651.482
0.0	47.2131
6685.285714	7948.7373
3184.571429	3514.11
